"YEAR";"AGE_first";"MIGRATION";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"HABITAT"
2013;"JUV";"Court";0;0;0;0;0,0583333333333333;"Aquatique"
2014;"JUV";"Court";0;0;0;0,0228982744783307;0,111710963455149;"Aquatique"
2015;"JUV";"Court";0;0;0;0,0225146198830409;0,0961363636363636;"Aquatique"
2016;"JUV";"Court";0;0;0;0,0128205128205128;0,05503003003003;"Aquatique"
2017;"JUV";"Court";0;0;0,0114801864801865;0,078525641025641;0,101984126984127;"Aquatique"
2018;"JUV";"Court";0;0;0;0;0,0729166666666667;"Aquatique"
2001;"AD";"Long";0,122448979591837;0,122448979591837;0,122448979591837;0,122448979591837;0,122448979591837;"Aquatique"
2002;"AD";"Long";0,185185185185185;0,185185185185185;0,185185185185185;0,185185185185185;0,185185185185185;"Aquatique"
2003;"AD";"Long";0;0;0;0;0;"Aquatique"
2004;"AD";"Long";0;0;0;0;0;"Aquatique"
2005;"AD";"Long";0,315789473684211;0,315789473684211;0,315789473684211;0,315789473684211;0,315789473684211;"Aquatique"
2006;"AD";"Long";0,234615384615385;0,269230769230769;0,307692307692308;0,32051282051282;0,332051282051282;"Aquatique"
2007;"AD";"Long";0,00735294117647059;0,0744206773618538;0,125122189638319;0,192972350230415;0,218191964285714;"Aquatique"
2008;"AD";"Long";0;0;0,0869565217391304;0,179841897233202;0,190006684491979;"Aquatique"
2009;"AD";"Long";0,130147058823529;0,176470588235294;0,181818181818182;0,217391304347826;0,246739130434783;"Aquatique"
2010;"AD";"Long";0;0,0303030303030303;0,143939393939394;0,180555555555556;0,225071225071225;"Aquatique"
2011;"AD";"Long";0;0,0725806451612903;0,154761904761905;0,239247311827957;0,360181451612903;"Aquatique"
2012;"AD";"Long";0,0566923076923077;0,16;0,189189189189189;0,230434782608696;0,350797101449275;"Aquatique"
2013;"AD";"Long";0,007;0,0814285714285714;0,145104895104895;0,170454545454545;0,186505681818182;"Aquatique"
2014;"AD";"Long";0,112254901960784;0,127237851662404;0,224330357142857;0,271923076923077;0,299;"Aquatique"
2015;"AD";"Long";0;0;0,1;0,154761904761905;0,23021978021978;"Aquatique"
2016;"AD";"Long";0,0258064516129032;0,142857142857143;0,193548387096774;0,208791208791209;0,419191919191919;"Aquatique"
2017;"AD";"Long";0;0,135922330097087;0,151515151515152;0,166666666666667;0,27875;"Aquatique"
2018;"AD";"Long";0;0;0,0833333333333333;0,111111111111111;0,259080459770115;"Aquatique"
1992;"JUV";"Long";0,00454545454545453;0,0454545454545455;0,0909090909090909;0,136363636363636;0,177272727272727;"Aquatique"
1996;"JUV";"Long";0,363636363636364;0,363636363636364;0,363636363636364;0,363636363636364;0,363636363636364;"Aquatique"
1997;"JUV";"Long";0,250568181818182;0,255681818181818;0,261363636363636;0,267045454545455;0,272159090909091;"Aquatique"
2001;"JUV";"Long";0,00208333333333333;0,0208333333333333;0,0416666666666667;0,0625;0,08125;"Aquatique"
2002;"JUV";"Long";0;0;0;0;0;"Aquatique"
2004;"JUV";"Long";0;0;0;0;0;"Aquatique"
2005;"JUV";"Long";0;0;0;0,0178571428571429;0,0660714285714286;"Aquatique"
2006;"JUV";"Long";0;0;0,0192307692307692;0,0413461538461539;0,0491346153846154;"Aquatique"
2007;"JUV";"Long";0;0;0;0;0,0760869565217391;"Aquatique"
2008;"JUV";"Long";0;0;0;0,027027027027027;0,0436117936117936;"Aquatique"
2009;"JUV";"Long";0;0;0,04;0,067816091954023;0,0811781609195402;"Aquatique"
2010;"JUV";"Long";0;0;0;0,0138888888888889;0,0891666666666666;"Aquatique"
2011;"JUV";"Long";0;0;0;0;0;"Aquatique"
2012;"JUV";"Long";0;0;0;0,025;0,128928571428571;"Aquatique"
2013;"JUV";"Long";0,00197368421052631;0,0197368421052632;0,0425696594427245;0,0649509803921569;0,0814950980392157;"Aquatique"
2014;"JUV";"Long";0;0;0;0,0526315789473684;0,136666666666667;"Aquatique"
2015;"JUV";"Long";0;0;0,0273972602739726;0,0526315789473684;0,137362637362637;"Aquatique"
2016;"JUV";"Long";0;0;0;0;0;"Aquatique"
2017;"JUV";"Long";0;0;0;0,024390243902439;0,167076167076167;"Aquatique"
2018;"JUV";"Long";0;0;0;0,0174418604651163;0,0711378737541528;"Aquatique"
